course_id,course_name
1,"'AN_, Curriculum, and Inclusive Classrooms(SEC)'"
2,'AN_ Curriculum and Inclusive Classrooms(SEC) -BATCH2'
3,'AN_Art Integrated Learning'
4,'AN_Art Integrated Learning(SEC)'
5,'AN_Art Integrated Learning(SEC)-BATCH2'
6,'AN_Curriculum and Inclusive Classrooms'
7,'AN_Developing Personal-Social Qualities (PSQ) for Creating a Safe and Healthy School Environment'
8,'AN_Foundational Language and Literacy(FLN)'
9,'AN_Foundational Language and Literacy(FLN)_Batch2'
10,'AN_Foundational Numeracy(FLN)'
11,'AN_Foundational Numeracy(FLN)_Batch2'
12,'AN_Health and Well-being in Schools'
13,'AN_Health and Well-being(SEC)'
14,'AN_Health and Well-being(SEC)-BATCH2'
15,'AN_ICT in Teaching-Learning and Assessment(SEC)'
16,'AN_ICT in Teaching-Learning and Assessment(SEC)-BATCH2'
17,'AN_Initiatives in School Education'
18,'AN_Initiatives in School Education(SEC)'
19,'AN_Initiatives in School Education(SEC)_Batch2'
20,'AN_Integrating Gender in Schooling Processes(SEC)'
21,'AN_Integrating Gender in Schooling Processes(SEC)_Batch2'
22,'AN_Integrating Gender in the Teaching Learning Process'
23,'AN_Integration of ICT in Teaching, Learning and Assessment'
24,'AN_Integration of ICT in Teaching, Learning and Assessment(FLN)'
25,'AN_Integration of ICT in Teaching, Learning and Assessment(FLN)_Batch2'
26,'AN_Introduction to FLN Mission(FLN)'
27,'AN_Introduction to FLN Mission(FLN)_Batch2'
28,'AN_Involvement of Parents and Communities for FLN'
29,'AN_Involvement of Parents and Communities for FLN_Batch2'
30,'AN_Learning Assessment(FLN)'
31,'AN_Learning Assessment(FLN)_Batch2'
32,'AN_Multilingual Education in Primary Grades(FLN)'
33,'AN_Multilingual Education in Primary Grades(FLN)_Batch2'
34,'AN_Pedagogy of Environmental Studies'
35,'AN_Pedagogy of Languages'
36,'AN_Pedagogy of Mathematics'
37,'AN_Pedagogy of Science'
38,'AN_Pedagogy of Social Sciences'
39,'AN_Personal-Social Qualities for Holistic Development(SEC)'
40,'AN_Personal-Social Qualities for Holistic Development(SEC)-BATCH2'
41,'AN_Pre-vocational Education'
42,'AN_Preschool Education'
43,'AN_School Based Assessment'
44,'AN_School Based Assessment(SEC)'
45,'AN_School Based Assessment(SEC)_Batch2'
46,'AN_School Leadership for Foundational Literacy and Numeracy(FLN)'
47,'AN_School Leadership for Foundational Literacy and Numeracy(FLN)_Batch2'
48,'AN_Shifting Towards Competency Based Education(FLN)'
49,'AN_Shifting Towards Competency Based Education(FLN)_Batch2'
50,'AN_Toy Based Pedagogy for Foundational Stage(FLN)'
51,'AN_Toy Based Pedagogy for Foundational Stage(FLN)_Batch2'
52,'AN_Toy Based Pedagogy(SEC)'
53,'AN_Toy Based Pedagogy(SEC)_Batch2'
54,"'AN_Understanding Rights, Child Sexual Abuse and The POCSO Act, 2012'"
55,'AN_Understanding Secondary Stage Learners(SEC)'
56,'AN_Understanding Secondary Stage Learners(SEC)-BATCH2'
57,'AN_Vocational Education(SEC)'
58,'AN_Vocational Education(SEC)_Batch2'
59,'AP_Art Integrated Learning'
60,'AP_Curriculum and Inclusive Classrooms'
61,'AP_Developing Personal-Social Qualities (PSQ) for Creating a Safe and Healthy School Environment'
62,'AP_FLN_1.Introduction to FLN Mission'
63,'AP_FLN_1.Introduction to FLN Mission - Batch2'
64,'AP_FLN_2. Shifting Towards Competency Based Education'
65,'AP_FLN_2. Shifting Towards Competency Based Education - Batch2'
66,'AP_FLN_4. Involvement of Parents and Communities for FLN'
67,'AP_FLN_4. Involvement of Parents and Communities for FLN - Batch2'
68,'AP_FLN_6 Foundational Language and Literacy'
69,'AP_FLN_6 Foundational Language and Literacy - Batch2'
70,'AP_FLN_7.Multilingual Education in Primary Grades'
71,'AP_FLN_7.Multilingual Education in Primary Grades - Batch2'
72,'AP_FLN_8. Learning Assessment'
73,'AP_FLN_8. Learning Assessment - Batch2'
74,'AP_FLN_9.Foundational Numeracy'
75,'AP_FLN_9.Foundational Numeracy - Batch2'
76,'AP_FLN_10.School Leadership for Foundational Literacy and Numeracy'
77,'AP_FLN_10.School Leadership for Foundational Literacy and Numeracy - Batch2'
78,"'AP_FLN_11. Integration of ICT in Teaching, Learning and Assessment'"
79,"'AP_FLN_11. Integration of ICT in Teaching, Learning and Assessment - Batch2'"
80,'AP_FLN_12. Toy Based Pedagogy for Foundational Stage'
81,'AP_FLN_12. Toy Based Pedagogy for Foundational Stage _ Batch2'
82,'AP_Health and Well-being in Schools'
83,'AP_Initiatives in School Education'
84,'AP_Integrating gender in the teaching-learning process'
85,"'AP_Integration of ICT in Teaching, Learning and Assessment'"
86,'AP_Pedagogy of Environmental Studies'
87,'AP_Pedagogy of Languages'
88,'AP_Pedagogy of Mathematics'
89,'AP_Pedagogy of Science'
90,'AP_Pedagogy of Social Sciences'
91,'AP_Pre-vocational Education'
92,'AP_Preschool Education'
93,'AP_School Based Assessment'
94,'AP_Sec_1.Curriculum and Inclusive Classrooms'
95,'AP_Sec_1.Curriculum and Inclusive Classrooms - Batch2'
96,'AP_Sec_2.ICT in Teaching-Learning and Assessment'
97,'AP_Sec_2.ICT in Teaching-Learning and Assessment - Batch2'
98,'AP_Sec_3.Personal-Social Qualities for Holistic Development'
99,'AP_Sec_3.Personal-Social Qualities for Holistic Development - Batch2'
100,'AP_Sec_4.Art Integrated Learning'
101,'AP_Sec_4.Art Integrated Learning - Batch2'
102,'AP_Sec_5. Understanding Secondary Stage Learners'
103,'AP_Sec_5. Understanding Secondary Stage Learners - Batch2'
104,'AP_Sec_6. Health and Well-being'
105,'AP_Sec_6. Health and Well-being - Batch2'
106,'AP_Sec_7. Integrating Gender in Schooling Processes'
107,'AP_Sec_7. Integrating Gender in Schooling Processes - Batch2'
108,'AP_Sec_9. Vocational Education'
109,'AP_Sec_9. Vocational Education - Batch2'
110,'AP_SEC_10.School Based Assessment'
111,'AP_SEC_10.School Based Assessment - Batch2'
112,'AP_Sec_11. Initiatives in School Education'
113,'AP_Sec_11. Initiatives in School Education - Batch2'
114,'AP_Sec_12. Toy Based Pedagogy'
115,'AP_Sec_12. Toy Based Pedagogy - Batch2'
116,"'AP_Understanding Rights, Child Sexual Abuse and The POCSO Act, 2012'"
117,'AR_ Integrating Gender in Schooling Processes'
118,'AR_ Integrating Gender in Schooling Processes Batch 3'
119,'AR_ Involvement of Parents and Communities for FLN'
120,'AR_ Involvement of Parents and Communities for FLN batch 2'
121,'AR_ School Based Assessment'
122,'AR_ School Based Assessment Batch 3'
123,'AR_Art Integrated Learning'
124,'AR_Art Integrated Learning Batch 3'
125,'AR_Curriculum and Inclusive Classrooms'
126,'AR_Curriculum and Inclusive Classrooms Batch 3'
127,'AR_Foundational Language and Literacy'
128,'AR_Foundational Language and Literacy batch 2'
129,'AR_Foundational Numeracy'
130,'AR_Foundational Numeracy batch 2'
131,'AR_Health and Well-being'
132,'AR_Health and Well-being Batch 3'
133,'AR_ICT in Teaching-Learning and Assessment'
134,'AR_ICT in Teaching-Learning and Assessment Batch 3'
135,'AR_Initiatives in School Education'
136,'AR_Initiatives in School Education Batch 3'
137,'AR_Integrating Gender in the Teaching Learning Process'
138,"'AR_Integration of ICT in Teaching, Learning and Assessment'"
139,"'AR_Integration of ICT in Teaching, Learning and Assessment batch 2'"
140,'AR_Introduction to FLN Mission'
141,'AR_Introduction to FLN Mission batch 2'
142,'AR_Learning Assessment'
143,'AR_Learning Assessment batch 2'
144,'AR_Multilingual Education in Primary Grades'
145,'AR_Multilingual Education in Primary Grades batch 2'
146,'AR_Pedagogy of Environmental Studies'
147,'AR_Pedagogy of Languages(English)'
148,'AR_Pedagogy of Mathematics'
149,'AR_Pedagogy of Science'
150,'AR_Pedagogy of Social Sciences'
151,'AR_Personal-Social Qualities for Holistic Development'
152,'AR_Personal-Social Qualities for Holistic Development Batch 3'
153,'AR_Pre-vocational Education'
154,'AR_Preschool Education'
155,'AR_School Based Assessment'
156,'AR_School Leadership for Foundational Literacy and Numeracy'
157,'AR_School Leadership for Foundational Literacy and Numeracy batch 2'
158,'AR_Shifting Towards Competency Based Education'
159,'AR_Shifting Towards Competency Based Education batch 2'
160,'AR_Toy Based Pedagogy'
161,'AR_Toy Based Pedagogy Batch 3'
162,'AR_Toy Based Pedagogy for Foundational Stage'
163,'AR_Toy Based Pedagogy for Foundational Stage batch 2'
164,"'AR_Understanding Rights, Child Sexual Abuse and The POCSO Act, 2012'"
165,'AR_Understanding Secondary Stage Learners'
166,'AR_Understanding Secondary Stage Learners Batch 3'
167,'AR_Vocational Education'
168,'AR_Vocational Education Batch 3'
169,'Arunachal Pradesh Curriculum and Inclusive Classrooms'
170,'Arunachal Pradesh Developing Personal-Social Qualities (PSQ) for Creating a Safe and Healthy School Environment'
171,'Arunachal Pradesh Health and Well-being in Schools'
172,'AS_ Integrating Gender in the Teaching Learning Process'
173,"'AS_ Integration of ICT in Teaching, Learning and Assessment'"
174,'AS_Art Integrated Learning'
175,'AS_Curriculum and Inclusive Classrooms'
176,'AS_Developing Personal-Social Qualities for Creating a Safe & Healthy School Env'
177,'AS_FLN_Foundational Language and Literacy'
178,'AS_FLN_Foundational Language and Literacy- Batch 2'
179,'AS_FLN_Foundational Numeracy'
180,'AS_FLN_Introduction to FLN Mission'
181,'AS_FLN_Introduction to FLN Mission-Batch 2'
182,'AS_FLN_Involvement of Parents and Communities for FLN'
183,'AS_FLN_Involvement of Parents and Communities for FLN- Batch 2'
184,'AS_FLN_Learning Assessment'
185,'AS_FLN_Multilingual Education in Primary Grades'
186,'AS_FLN_Shifting Towards Competency Based Education'
187,'AS_FLN_Shifting Towards Competency Based Education-Batch-2'
188,'AS_Health and Well-being in Schools'
189,'AS_Initiatives in School Education'
190,'AS_Pedagogy of Environmental Studies'
191,'AS_Pedagogy of Languages'
192,'AS_Pedagogy of Mathematics'
193,'AS_Pedagogy of Science'
194,'AS_Pedagogy of Social Sciences'
195,'AS_Pre-vocational Education'
196,'AS_Preschool Education'
197,'AS_School Based Assessment'
198,'AS_SEC_Art Integrated Learning'
199,'AS_SEC_Art Integrated Learning - Batch2'
200,'AS_SEC_Curriculum and Inclusive Classrooms'
201,'AS_SEC_Curriculum and Inclusive Classrooms - Batch2'
202,'AS_SEC_Health and Well-being'
203,'AS_SEC_Health and Well-being - Batch2'
204,'AS_SEC_ICT in Teaching-Learning and Assessment'
205,'AS_SEC_ICT in Teaching-Learning and Assessment - Batch2'
206,'AS_SEC_Initiatives in School Education'
207,'AS_SEC_Initiatives in School Education - Batch2'
208,'AS_SEC_Integrating Gender in Schooling Processes'
209,'AS_SEC_Integrating Gender in Schooling Processes - Batch2'
210,'AS_SEC_Personal-Social Qualities for Holistic Development'
211,'AS_SEC_Personal-Social Qualities for Holistic Development - Batch2'
212,'AS_SEC_School Based Assessment'
213,'AS_SEC_School Based Assessment - Batch2'
214,'AS_SEC_Toy Based Pedagogy'
215,'AS_SEC_Toy Based Pedagogy - Batch2'
216,'AS_SEC_Understanding Secondary Stage Learners'
217,'AS_SEC_Understanding Secondary Stage Learners - Batch2'
218,'AS_SEC_Vocational Education'
219,'AS_SEC_Vocational Education - Batch2'
220,"'AS_Understanding Rights, Child Sexual Abuse (CSA) and (POCSO) Act, 2012'"
221,'BIHAR_Pedagogy of Languages'
222,'CBSE_G_FLN_C1_Introduction to FLN Mission'
223,'CBSE_G_FLN_C2_Shifting Towards Competency Based Education'
224,'CBSE_G_FLN_C4_Involvement of Parents and Communities for FLN'
225,'CBSE_G_FLN_C10_School Leadership for Foundational Literacy and Numeracy_Batch2'
226,'CBSE_G_S_C1_Curriculum and Inclusive Classrooms_BATCH2'
227,'CBSE_G_S_C2_ICT in Teaching-Learning and Assessment_BATCH2'
228,'CBSE_G_S_C3_Personal-Social Qualities for Holistic Development_BATCH2'
229,'CBSE_G_S_C4_Art Integrated Learning_BATCH2'
230,'CBSE_G_S_C5_Understanding Secondary Stage Learners_BATCH2'
231,'CBSE_G_S_C6_Health and Well-being_BATCH2'
232,'CBSE_G_S_C7_ Integrating Gender in Schooling Processes_BATCH2'
233,'CBSE_G_S_C9_Vocational Education_BATCH2'
234,'CBSE_G_S_C10_School Based Assessment_BATCH2'
235,'CBSE_G_S_C11_Initiatives in School Education_BATCH2'
236,'CBSE_G_S_C12_Toy Based Pedagogy_BATCH2'
237,'CBSE_G_SEC_C4_Art Integrated Learning'
238,'CBSE_G_SEC_C5_Understanding Secondary Stage Learners'
239,'CBSE_G_SEC_C6_Health and Well-being'
240,'CBSE_G_SEC_C7_ Integrating Gender in Schooling Processes'
241,'CBSE_G_SEC_C9_Vocational Education'
242,'CBSE_G_SEC_C10_School Based Assessment'
243,'CBSE_G_SEC_C11_Initiatives in School Education'
244,'CBSE_G_SEC_C12_Toy Based Pedagogy'
245,'CBSE_GA_FLN_C6_Foundational Language and Literacy'
