indicator_id,indicator_code,indicator_name
1,L304,"Reads small texts with comprehension i.e., identifies main ideas, details,sequence and draws conclusions"
2,L312,"Reads printed scripts on the classroom walls: poems, posters, charts etc."
3,M301,Reads and writes numbers up to 999 using place value
4,M302,Compares numbers up to 999 based on their place values
5,M303,Solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping
6,M304,Constructs and uses the multiplication facts (up till 10) in daily life situations
7,M305,Analyses and applies an appropriate number operation in the situation/ context
8,M306,Explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction
9,M309,"Identifies and makes 2D-shapes by paper folding. paper cutting on the dot grid, using straight lines etc."
10,M311,Fills a given region leaving no gaps using a tile of a given shape
11,M312,Estimates and measures length and distance using standard units like centimeters or meters & identifies relationships
12,M317,Reads the time correctly to the hour using a clock/watch
13,M318,Extends patterns in simple shapes and numbers
14,M319,"Records data using tally marks, represents pictorially and draws"
15,EVS302,"Identifies simple features (e.g. movement, at places found/ kept, eating habits, sounds) of animals and birds in the immediate surroundings."
16,EVS303,Identifies relationships with and among family members
17,EVS304,"Identifies objects, signs (vessels, stoves, transport, means of communication, transport, signboards etc.), places (types of houses/shelters, bus stand, petrol pump etc.) activities (works people do, cooking processes, etc.) at home/school/ neighborhoods"
18,EVS305,"Describes need of food for people of different age groups, animals/birds, availability of food and water and use of water at home and surroundings."
19,EVS307,"Groups objects, birds, animals, features, activities according to differences/ similarities using different senses. (e.g. appearance/place of living/ food/ movement/ likes-dislikes/ any other features)"
20,EVS309,"Identifies directions, location of objects/places in simple maps using signs/symbols/ verbally"
21,EVS310,"Guesses properties, estimates quantities of materials/activities in daily life and verifies using symbols/non-standard units"
22,EVS311,"Records observations, experiences, information on objects/activities/places visited in different ways and predicts patterns etc"
23,EVS313,"Observes rules in games (local, indoor, outdoor)"
24,EVS314,"Voices opinion on good/bad touch , stereotypes for tasks/play/food in family w.r.t gender, misuse/wastage of food and water in family and school."
25,L508,"Reads text with comprehension, locates details and sequence of events"
26,M401,Applies operations of numbers in daily life situations
27,M412,"Explores the area and perimeter of simple geometrical shapes (triangle, rectangle, square) in terms of given shape as a unit"
28,M418,Calculates time intervals/duration of familiar daily life events by using forward or backward counting/addition and subtraction
29,M421,Represent the collected information in tables and bar graphs and draws inferences from these
30,M501,Reads and writes numbers bigger than 1000 being used in her/his surroundings
31,M504,"Estimates sum, difference, product and quotient of numbers and verifies the same using different strategies like using standard algorithms or breaking a number and then using operation"
32,M505,Finds the number corresponding to part of a collection
33,M506,Identifies and forms equivalent fractions of a given fraction
34,M508,Converts fractions into decimals and vice versa
35,M509,"Classifies angles into right angle, acute angle, obtuse angle and represents the same by drawing and tracing"
36,M512,"Relates different commonly used larger and smaller units of length, weight and volume and converts larger units to smaller units and vice versa"
37,M513,Estimates the volume of a solid body in known units.
38,M514,"Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals"
39,M515,Identifies the pattern in triangular numbers and square number
40,M516,Collects data related to various daily life situations. represents it in tabular form and as bar graphs and interprets it
41,EVS403,Identifies relationship with and among family members in extended family
42,EVS410,"Records observations/experiences/information for objects, activities, phenomena, places visited in different ways and predicts patterns and activities/ phenomena"
43,EVS501,"Explains the super senses and unusual features (sight, smell, hear, sleep, sound, etc.) of animals and their responses to light, sound, food etc."
44,EVS503,"Describes the interdependence among animals, plants and humans"
45,EVS504,"Explains the role and functions of different institutions in daily life (Bank, Panchayat, cooperatives. police station, etc.)"
46,EVS505,"Establishes linkages among terrain, climate, resources (food, water, shelter, livelihood) and cultural life. (e.g. life in distant/difficult areas like hot/cold deserts)"
47,EVS506,"Groups objects, materials, activities for features/properties such as shape, taste, color , texture, sound, traits etc."
48,EVS507,"Traces the changes in practices, customs, techniques of past and present through coins, paintings, monuments, museum etc. and interacting with elders"
49,EVS508,"Guesses (properties, conditions of phenomena), estimates spatial quantities (distance, area, volume, weight etc. ) and time in simple standard units and verifies using simple tools/set ups"
50,EVS509,"Records observations/experiences/information in an organized manner (e.g. in tables/ sketches/ bar graphs/ pie charts) and predicts patterns in activities/ phenomena (e.g. floating, sinking, mixing, evaporation , germination, spoilage) to establish relation between cause and effect."
51,EVS510,"Identifies signs, directions, location of different objects/landmarks of a locality / place visited in maps and predicts directions w.r.t. positions at different places for a location"
52,EVS512,Voices opinions on issues observed/experienced and relates practices/happenings to larger issues of society
53,EVS513,"Suggests ways for hygiene, health, managing waste. disaster/emergency situations and protecting/saving resources"
54,L813,"Read textual/non-textual materials with comprehension and identifies the details, characters, main idea and sequence of ideas and events while reading"
55,M601,Solves problems involving large numbers by applying appropriate operations
56,M606,Solves problems on daily life situations involving addition and subtraction of fractions / decimals
57,M620,"Finds out the perimeter and area of rectangular objects in the surroundings like floor of the class room, surfaces of a chalk box etc."
58,M621,"Arranges given/collected information in the form of table, pictograph and bar graph and interprets them"
59,M702,Interprets the division and multiplication of fractions
60,M705,Solves problems related to daily life situations involving rational numbers
61,M706,Uses exponential form of numbers to simplify problems involving multiplication and division of large numbers
62,M707,Adds/subtracts algebraic expressions
63,M710,Solves problems related to conversion of percentage to fraction and decimal and vice versa
64,M717,Finds out approximate area of closed shapes by using unit square grid/graph sheet
