state_id,district_id,subject_name,grade_name,lo_code,performance
12,101,Language,Grade 3,L304,63.63
12,101,Language,Grade 3,L312,56.84
12,101,Math,Grade 3,M301,39.31
12,101,Math,Grade 3,M302,72.12
12,101,Math,Grade 3,M303,58.69
12,101,Math,Grade 3,M304,67.84
12,101,Math,Grade 3,M305,60.5
12,101,Math,Grade 3,M306,51.36
12,101,Math,Grade 3,M309,35.34
12,101,Math,Grade 3,M311,55.19
12,101,Math,Grade 3,M312,55.73
12,101,Math,Grade 3,M317,70.59
12,101,Math,Grade 3,M318,58.09
12,101,Math,Grade 3,M319,48.04
12,101,Evs,Grade 3,EVS302,61.44
12,101,Evs,Grade 3,EVS303,57.87
12,101,Evs,Grade 3,EVS304,61.91
12,101,Evs,Grade 3,EVS305,58.79
12,101,Evs,Grade 3,EVS307,68.19
12,101,Evs,Grade 3,EVS309,62.13
12,101,Evs,Grade 3,EVS310,65.83
12,101,Evs,Grade 3,EVS311,52.65
12,101,Evs,Grade 3,EVS313,38.39
12,101,Evs,Grade 3,EVS314,66.57
12,102,Language,Grade 3,L304,64.05
12,102,Language,Grade 3,L312,57.92
12,102,Math,Grade 3,M301,50.8
12,102,Math,Grade 3,M302,76.14
12,102,Math,Grade 3,M303,61.84
12,102,Math,Grade 3,M304,64.97
12,102,Math,Grade 3,M305,67.03
12,102,Math,Grade 3,M306,56.46
12,102,Math,Grade 3,M309,45.95
12,102,Math,Grade 3,M311,61.34
12,102,Math,Grade 3,M312,54.42
12,102,Math,Grade 3,M317,78.73
12,102,Math,Grade 3,M318,63.89
12,102,Math,Grade 3,M319,55.01
12,102,Evs,Grade 3,EVS302,64.42
12,102,Evs,Grade 3,EVS303,50.95
12,102,Evs,Grade 3,EVS304,65.21
12,102,Evs,Grade 3,EVS305,56.32
12,102,Evs,Grade 3,EVS307,65.52
12,102,Evs,Grade 3,EVS309,66.51
12,102,Evs,Grade 3,EVS310,73.61
12,102,Evs,Grade 3,EVS311,56.3
12,102,Evs,Grade 3,EVS313,44.97
12,102,Evs,Grade 3,EVS314,69.22
22,201,Language,Grade 3,L304,55.8
22,201,Language,Grade 3,L312,48.65
22,201,Math,Grade 3,M301,46.55
22,201,Math,Grade 3,M302,60.94
22,201,Math,Grade 3,M303,57.77
22,201,Math,Grade 3,M304,58.83
22,201,Math,Grade 3,M305,52.34
22,201,Math,Grade 3,M306,47.69
22,201,Math,Grade 3,M309,41.36
22,201,Math,Grade 3,M311,47.58
22,201,Math,Grade 3,M312,48.44
22,201,Math,Grade 3,M317,63.78
22,201,Math,Grade 3,M318,50.55
22,201,Math,Grade 3,M319,48.14
22,201,Evs,Grade 3,EVS302,56.89
22,201,Evs,Grade 3,EVS303,44.76
22,201,Evs,Grade 3,EVS304,58.85
22,201,Evs,Grade 3,EVS305,57.2
22,201,Evs,Grade 3,EVS307,55.8
22,201,Evs,Grade 3,EVS309,54.09
22,201,Evs,Grade 3,EVS310,65.13
22,201,Evs,Grade 3,EVS311,50.83
22,201,Evs,Grade 3,EVS313,35.18
22,201,Evs,Grade 3,EVS314,56.64
22,202,Language,Grade 3,L304,60.94
22,202,Language,Grade 3,L312,50.79
22,202,Math,Grade 3,M301,40
22,202,Math,Grade 3,M302,70.15
22,202,Math,Grade 3,M303,56.71
22,202,Math,Grade 3,M304,62.77
22,202,Math,Grade 3,M305,55.6
22,202,Math,Grade 3,M306,44.13
22,202,Math,Grade 3,M309,35.95
22,202,Math,Grade 3,M311,50.96
22,202,Math,Grade 3,M312,55.3
22,202,Math,Grade 3,M317,68.91
22,202,Math,Grade 3,M318,54
22,202,Math,Grade 3,M319,45.32
22,202,Evs,Grade 3,EVS302,54.5
22,202,Evs,Grade 3,EVS303,50.14
22,202,Evs,Grade 3,EVS304,64.3
22,202,Evs,Grade 3,EVS305,54.51
22,202,Evs,Grade 3,EVS307,62.42
22,202,Evs,Grade 3,EVS309,54.38
22,202,Evs,Grade 3,EVS310,68.51
22,202,Evs,Grade 3,EVS311,47.99
22,202,Evs,Grade 3,EVS313,34.72
22,202,Evs,Grade 3,EVS314,61.21
