state_id,district_id,category_name,category_value
12,101,Outcome,145.2
12,102,Outcome,139.7
22,201,Outcome,146.4
22,202,Outcome,142.2
12,101,Effective Classroom Transaction,80.5
12,102,Effective Classroom Transaction,74.6
22,201,Effective Classroom Transaction,78.2
22,202,Effective Classroom Transaction,73
12,101,"Infrastructure, Facilities, Student Entitlements",38.6
12,102,"Infrastructure, Facilities, Student Entitlements",33
22,201,"Infrastructure, Facilities, Student Entitlements",29
22,202,"Infrastructure, Facilities, Student Entitlements",34.3
12,101,School Safety and Child Protection,30.1
12,102,School Safety and Child Protection,33.6
22,201,School Safety and Child Protection,28.8
22,202,School Safety and Child Protection,32.5
12,101,Digital Learning,2.4
12,102,Digital Learning,2.4
22,201,Digital Learning,1.9
22,202,Digital Learning,2.8
12,101,Governance Processes,47.7
12,102,Governance Processes,55
22,201,Governance Processes,50.7
22,202,Governance Processes,47
12,101,Overall,344.4
12,102,Overall,338.3
22,201,Overall,335
22,202,Overall,331.7
