state_id,grade_diksha,subject_diksha,medium,total_no_of_plays_app_and_portal
12,Class 1,English,English,540
12,Class 1,English,English,653
12,Class 2,English,English,345
12,Class 2,English,English,456
12,Class 2,English,English,447
12,Class 3,English,English,1145
12,Class 3,English,English,3421
12,Class 4,Hindi,English,624
12,Class 4,Hindi,English,732
12,Class 4,Hindi,English,489
12,Class 4,Hindi,English,2563
12,Class 5,Hindi,English,4632
12,Class 5,Hindi,Hindi,3985
12,Class 5,Hindi,Hindi,637
12,Class 5,Hindi,Hindi,680
12,Class 6,Hindi,Hindi,750
12,Class 6,Hindi,Hindi,743
12,Class 6,Mathematics,Hindi,247
12,Class 6,Mathematics,Hindi,6352
12,Class 6,Mathematics,Hindi,3421
12,Class 6,Mathematics,Hindi,624
12,Class 7,Mathematics,Hindi,732
12,Class 7,Mathematics,Hindi,489
12,Class 7,Mathematics,Hindi,2563
12,Class 7,Mathematics,Hindi,4632
12,Class 8,Mathematics,Hindi,3985
12,Class 8,Mathematics,Hindi,637
12,Class 8,Mathematics,Hindi,680
12,Class 8,Mathematics,Hindi,750
12,Class 8,Geography,Hindi,743
12,Class 9,Geography,English,247
12,Class 9,Geography,English,6352
12,Class 9,Geography,English,1376
12,Class 9,Geography,English,3781
12,Class 10,Ecnomics,English,840
12,Class 10,Ecnomics,English,620
12,Class 11,Ecnomics,English,333
12,Class 11,Ecnomics,English,115
12,Class 12,Ecnomics,English,743
12,Class 12,Ecnomics,English,5423
12,Class 12,Ecnomics,English,445
12,Class 12,Ecnomics,English,322