state_id,program_name,course_name,total_certification
1,NISHTHA 1.0,AN_Foundational Language and Literacy(FLN)_Batch2,63526
2,NISHTHA 1.0,AN_Foundational Language and Literacy(FLN)_Batch2,1627
3,NISHTHA 1.0,AN_Foundational Language and Literacy(FLN)_Batch2,35633
4,NISHTHA 1.0,AN_Foundational Language and Literacy(FLN)_Batch2,85165
5,NISHTHA 1.0,AN_Foundational Language and Literacy(FLN)_Batch2,5213
6,NISHTHA 1.0,AN_Foundational Language and Literacy(FLN)_Batch2,272689
7,NISHTHA 1.0,AN_Foundational Numeracy(FLN)_Batch2,372537
8,NISHTHA 1.0,AN_Foundational Numeracy(FLN)_Batch2,654
9,NISHTHA 1.0,AN_Foundational Numeracy(FLN)_Batch2,6786
10,NISHTHA 1.0,AN_Foundational Numeracy(FLN)_Batch2,558
11,NISHTHA 1.0,"""AN_Integration of ICT in Teaching",745
12,NISHTHA 1.0,"""AN_Integration of ICT in Teaching",753
13,NISHTHA 1.0,"""AN_Integration of ICT in Teaching",663598
14,NISHTHA 1.0,"""AN_Integration of ICT in Teaching",65566
15,NISHTHA 1.0,"""AN_Integration of ICT in Teaching",76432
16,NISHTHA 1.0,"""AN_Integration of ICT in Teaching",2763575
17,NISHTHA 1.0,"""AN_Integration of ICT in Teaching",657653
18,NISHTHA 1.0,"""AN_Integration of ICT in Teaching",68657
19,NISHTHA 1.0,AN_Pedagogy of Mathematics,865356
20,NISHTHA 1.0,AN_Pedagogy of Mathematics,364
21,NISHTHA 1.0,AN_Pedagogy of Mathematics,835
22,NISHTHA 1.0,AN_Pedagogy of Mathematics,385
23,NISHTHA 1.0,AN_Pedagogy of Mathematics,847
24,NISHTHA 1.0,AN_Pedagogy of Mathematics,288
25,NISHTHA 2.0,AN_Pedagogy of Mathematics,7234
26,NISHTHA 2.0,AN_Pedagogy of Mathematics,92
27,NISHTHA 2.0,AN_Pedagogy of Mathematics,92
28,NISHTHA 2.0,AN_Pedagogy of Mathematics,92
29,NISHTHA 2.0,AN_Pedagogy of Social Sciences,96
30,NISHTHA 2.0,AN_Pedagogy of Social Sciences,96
1,NISHTHA 2.0,AN_Pedagogy of Social Sciences,785563
2,NISHTHA 2.0,AN_Pedagogy of Social Sciences,38131
3,NISHTHA 2.0,AN_Pedagogy of Social Sciences,2033
4,NISHTHA 2.0,AN_Pedagogy of Social Sciences,184
5,NISHTHA 2.0,AN_Pedagogy of Social Sciences,1890
6,NISHTHA 2.0,AN_Pedagogy of Social Sciences,293
7,NISHTHA 2.0,AN_Pedagogy of Social Sciences,3185
8,NISHTHA 2.0,AN_Pedagogy of Social Sciences,1958
9,NISHTHA 2.0,AN_Pedagogy of Social Sciences,105
10,NISHTHA 2.0,AN_Pedagogy of Social Sciences,2115
11,NISHTHA 2.0,AN_Pedagogy of Social Sciences,128
12,NISHTHA 2.0,AN_Pedagogy of Social Sciences,3459
13,NISHTHA 2.0,AN_Pedagogy of Social Sciences,1515
14,NISHTHA 2.0,AP_Pedagogy of Environmental Studies,52
15,NISHTHA 2.0,AP_Pedagogy of Environmental Studies,52
16,NISHTHA 2.0,AP_Pedagogy of Environmental Studies,1529
17,NISHTHA 2.0,AP_Pedagogy of Environmental Studies,58
18,NISHTHA 2.0,AP_Pedagogy of Environmental Studies,58
19,NISHTHA 3.0,AP_Pedagogy of Environmental Studies,3320
20,NISHTHA 3.0,AP_Pedagogy of Environmental Studies,3282
21,NISHTHA 3.0,AP_Pedagogy of Environmental Studies,3349
22,NISHTHA 3.0,AP_Pedagogy of Environmental Studies,3305
23,NISHTHA 3.0,AP_Pedagogy of Environmental Studies,3332
24,NISHTHA 3.0,AP_Pedagogy of Environmental Studies,1660
25,NISHTHA 3.0,AP_Pedagogy of Environmental Studies,6786
26,NISHTHA 3.0,AN_Foundational Numeracy(FLN)_Batch2,558
27,NISHTHA 3.0,AN_Foundational Numeracy(FLN)_Batch2,745
28,NISHTHA 3.0,AN_Foundational Numeracy(FLN)_Batch2,753
29,NISHTHA 3.0,AN_Foundational Numeracy(FLN)_Batch2,663598
30,NISHTHA 3.0,AN_Foundational Numeracy(FLN)_Batch2,65566
1,NISHTHA 3.0,AN_Foundational Numeracy(FLN)_Batch2,76432
2,NISHTHA 3.0,AN_Foundational Numeracy(FLN)_Batch2,2763575
3,NISHTHA 3.0,AN_Foundational Numeracy(FLN)_Batch2,657653
4,NISHTHA 3.0,AN_Foundational Language and Literacy(FLN)_Batch2,68657
5,NISHTHA 3.0,AN_Foundational Language and Literacy(FLN)_Batch2,865356
6,NISHTHA 3.0,AN_Foundational Language and Literacy(FLN)_Batch2,364
7,NISHTHA 2.0,AN_Foundational Language and Literacy(FLN)_Batch2,835
8,NISHTHA 2.0,AN_Foundational Language and Literacy(FLN)_Batch2,385
9,NISHTHA 2.0,AN_Foundational Language and Literacy(FLN)_Batch2,376873
10,NISHTHA 2.0,AN_Foundational Language and Literacy(FLN)_Batch2,3866
11,NISHTHA 2.0,AN_Foundational Language and Literacy(FLN)_Batch2,735273
12,NISHTHA 2.0,AN_Foundational Language and Literacy(FLN)_Batch2,3143
13,NISHTHA 2.0,AN_Foundational Language and Literacy(FLN)_Batch2,9902
