state_id,program_name,total_expected_certification
1,NISHTHA 1.0,26374
2,NISHTHA 1.0,164367
3,NISHTHA 1.0,624474
4,NISHTHA 1.0,23536
5,NISHTHA 1.0,53385
6,NISHTHA 1.0,9037786
7,NISHTHA 1.0,65643213
8,NISHTHA 1.0,36543
9,NISHTHA 1.0,65246563
10,NISHTHA 1.0,62756
11,NISHTHA 1.0,34345455
12,NISHTHA 1.0,5188428
13,NISHTHA 1.0,479826
14,NISHTHA 1.0,10122390
15,NISHTHA 1.0,625122
16,NISHTHA 1.0,20566
17,NISHTHA 1.0,514592
18,NISHTHA 1.0,42484
19,NISHTHA 1.0,713908
20,NISHTHA 1.0,668148
21,NISHTHA 1.0,23998
22,NISHTHA 1.0,860678
23,NISHTHA 1.0,11362
24,NISHTHA 1.0,420524
25,NISHTHA 2.0,9464
26,NISHTHA 2.0,60814
27,NISHTHA 2.0,706524
28,NISHTHA 2.0,401128
29,NISHTHA 2.0,296140
30,NISHTHA 2.0,199576
1,NISHTHA 2.0,568516
2,NISHTHA 2.0,12480
3,NISHTHA 2.0,6110
4,NISHTHA 2.0,599456
5,NISHTHA 2.0,97838
6,NISHTHA 2.0,47710
7,NISHTHA 2.0,12766
8,NISHTHA 2.0,30914
9,NISHTHA 2.0,36868
10,NISHTHA 2.0,390832
11,NISHTHA 2.0,21060
12,NISHTHA 2.0,624474
13,NISHTHA 2.0,23536
14,NISHTHA 2.0,53385
15,NISHTHA 2.0,9037786
16,NISHTHA 2.0,65643213
17,NISHTHA 2.0,36543
18,NISHTHA 2.0,65246563
19,NISHTHA 3.0,62756
20,NISHTHA 3.0,34345455
21,NISHTHA 3.0,5188428
22,NISHTHA 3.0,479826
23,NISHTHA 3.0,10122390
24,NISHTHA 3.0,625122
25,NISHTHA 3.0,479640
26,NISHTHA 3.0,849600
27,NISHTHA 3.0,1342200
28,NISHTHA 3.0,17460
29,NISHTHA 3.0,5700
30,NISHTHA 3.0,1643580
1,NISHTHA 3.0,2268720
2,NISHTHA 3.0,75000
3,NISHTHA 3.0,151680
4,NISHTHA 3.0,53940
5,NISHTHA 3.0,624474
6,NISHTHA 3.0,23536
7,NISHTHA 2.0,53385
8,NISHTHA 2.0,9037786
9,NISHTHA 2.0,65643213
