state_id,program_name,local_body
1,NISHTHA 1.0,1
2,NISHTHA 1.0,150
3,NISHTHA 1.0,30
4,NISHTHA 1.0,1
5,NISHTHA 1.0,1
6,NISHTHA 1.0,1
7,NISHTHA 1.0,1
8,NISHTHA 1.0,1
9,NISHTHA 2.0,1
10,NISHTHA 2.0,165
11,NISHTHA 2.0,'2, 450'
12,NISHTHA 2.0,2
13,NISHTHA 2.0,2
14,NISHTHA 2.0,'1, 280'
15,NISHTHA 2.0,'4, 645'
16,NISHTHA 2.0,1
17,NISHTHA 3.0,1
18,NISHTHA 3.0,180
19,NISHTHA 3.0,278
20,NISHTHA 3.0,110
21,NISHTHA 3.0,'5, 670'
22,NISHTHA 3.0,1
23,NISHTHA 1.0,1
24,NISHTHA 1.0,1
25,NISHTHA 1.0,1
26,NISHTHA 1.0,10
27,NISHTHA 1.0,49
28,NISHTHA 1.0,'5, 590'
29,NISHTHA 3.0,150
30,NISHTHA 3.0,30
1,NISHTHA 3.0,1
2,NISHTHA 3.0,1
3,NISHTHA 3.0,1
4,NISHTHA 3.0,1
5,NISHTHA 3.0,1
6,NISHTHA 3.0,1
7,NISHTHA 3.0,165
8,NISHTHA 3.0,'2, 450'
9,NISHTHA 3.0,2
10,NISHTHA 3.0,2
11,NISHTHA 3.0,'1, 280'
12,NISHTHA 3.0,'4, 645'
13,NISHTHA 2.0,1
14,NISHTHA 2.0,1
15,NISHTHA 2.0,180
16,NISHTHA 2.0,278
17,NISHTHA 2.0,110
18,NISHTHA 2.0,'5, 670'
19,NISHTHA 2.0,1
20,NISHTHA 2.0,1
