state_id,program_name,started
1,NISHTHA 1.0,Yes
2,NISHTHA 3.0,No
3,NISHTHA 3.0,No
4,NISHTHA 3.0,Yes
30,NISHTHA 2.0,No
22,NISHTHA 3.0,Yes
31,NISHTHA 3.0,No
6,NISHTHA 3.0,No
13,NISHTHA 2.0,Yes
30,NISHTHA 3.0,No
29,NISHTHA 2.0,No
6,NISHTHA 3.0,Yes
21,NISHTHA 2.0,No
14,NISHTHA 3.0,No
32,NISHTHA 2.0,No
6,NISHTHA 2.0,Yes
7,NISHTHA 3.0,No
29,NISHTHA 3.0,No
12,NISHTHA 1.0,No
18,NISHTHA 3.0,Yes
7,NISHTHA 1.0,No
8,NISHTHA 2.0,Yes
17,NISHTHA 1.0,Yes
15,NISHTHA 1.0,Yes
31,NISHTHA 3.0,No
5,NISHTHA 1.0,Yes
30,NISHTHA 1.0,Yes
10,NISHTHA 2.0,No
16,NISHTHA 1.0,Yes
11,NISHTHA 1.0,Yes
15,NISHTHA 3.0,No
33,NISHTHA 1.0,Yes
16,NISHTHA 2.0,No
28,NISHTHA 1.0,Yes
19,NISHTHA 3.0,No
9,NISHTHA 1.0,No
13,NISHTHA 2.0,Yes
32,NISHTHA 1.0,No
4,NISHTHA 1.0,Yes
10,NISHTHA 3.0,Yes
20,NISHTHA 3.0,No
12,NISHTHA 1.0,Yes
17,NISHTHA 2.0,Yes
34,NISHTHA 2.0,No
26,NISHTHA 1.0,Yes
14,NISHTHA 2.0,No
22,NISHTHA 2.0,No
35,NISHTHA 1.0,Yes
33,NISHTHA 3.0,No
36,NISHTHA 2.0,Yes
18,NISHTHA 3.0,No
3,NISHTHA 1.0,Yes
2,NISHTHA 2.0,No
1,NISHTHA 2.0,No
21,NISHTHA 3.0,Yes
2,NISHTHA 2.0,No
37,NISHTHA 1.0,No
34,NISHTHA 2.0,Yes
23,NISHTHA 3.0,No
19,NISHTHA 1.0,Yes
5,NISHTHA 2.0,No
4,NISHTHA 2.0,Yes
6,NISHTHA 3.0,No
35,NISHTHA 2.0,Yes
8,NISHTHA 1.0,No
7,NISHTHA 3.0,Yes
20,NISHTHA 1.0,No
9,NISHTHA 3.0,No
36,NISHTHA 1.0,Yes
10,NISHTHA 2.0,No
25,NISHTHA 1.0,Yes
11,NISHTHA 1.0,No
12,NISHTHA 2.0,No
24,NISHTHA 1.0,Yes
13,NISHTHA 1.0,No
24,NISHTHA 2.0,Yes
14,NISHTHA 1.0,Yes
37,NISHTHA 2.0,No
19,NISHTHA 1.0,Yes
27,NISHTHA 1.0,No
25,NISHTHA 3.0,Yes
18,NISHTHA 1.0,No
25,NISHTHA 1.0,Yes
20,NISHTHA 3.0,No
26,NISHTHA 1.0,No
25,NISHTHA 1.0,Yes
21,NISHTHA 2.0,No
23,NISHTHA 1.0,Yes
17,NISHTHA 3.0,No
23,NISHTHA 1.0,No
27,NISHTHA 3.0,Yes
22,NISHTHA 1.0,No
16,NISHTHA 1.0,Yes
28,NISHTHA 3.0,No
24,NISHTHA 3.0,No
11,NISHTHA 1.0,Yes
15,NISHTHA 2.0,No
