state_id,program_name,perc_target_remaining_certificates
1,NISHTHA 1.0,3.9
2,NISHTHA 1.0,15.7
3,NISHTHA 1.0,2.6
4,NISHTHA 1.0,1.2
5,NISHTHA 1.0,3.3
6,NISHTHA 1.0,16.4
7,NISHTHA 1.0,13.1
8,NISHTHA 1.0,2.1
9,NISHTHA 2.0,1.9
10,NISHTHA 2.0,117.2
11,NISHTHA 2.0,100.3
12,NISHTHA 2.0,5.6
13,NISHTHA 2.0,3.7
14,NISHTHA 2.0,75.2
15,NISHTHA 2.0,73.1
16,NISHTHA 2.0,4.2
17,NISHTHA 3.0,1.7
18,NISHTHA 3.0,3.4
19,NISHTHA 3.0,1.1
20,NISHTHA 3.0,83.2
21,NISHTHA 3.0,85.3
22,NISHTHA 3.0,6.9
23,NISHTHA 1.0,0.4
24,NISHTHA 1.0,3.2
25,NISHTHA 1.0,95.2
26,NISHTHA 1.0,7.3
27,NISHTHA 1.0,8.2
28,NISHTHA 1.0,6.2
29,NISHTHA 3.0,95.1
30,NISHTHA 3.0,95.1
1,NISHTHA 3.0,95.1
2,NISHTHA 3.0,3.3
3,NISHTHA 3.0,16.4
4,NISHTHA 3.0,13.1
5,NISHTHA 3.0,2.1
6,NISHTHA 3.0,1.9
7,NISHTHA 3.0,117.2
8,NISHTHA 3.0,100.3
9,NISHTHA 3.0,5.6
10,NISHTHA 3.0,3.7
11,NISHTHA 3.0,75.2
12,NISHTHA 3.0,73.1
13,NISHTHA 2.0,4.2
14,NISHTHA 2.0,1.7
15,NISHTHA 2.0,3.4
16,NISHTHA 2.0,1.1
17,NISHTHA 2.0,83.2
18,NISHTHA 2.0,85.3
19,NISHTHA 2.0,6.9
20,NISHTHA 2.0,0.4
21,NISHTHA 2.0,3.2
22,NISHTHA 2.0,95.2
23,NISHTHA 2.0,11.8
24,NISHTHA 2.0,9.2
25,NISHTHA 2.0,8.1
26,NISHTHA 2.0,13.6
27,NISHTHA 2.0,13.6
28,NISHTHA 2.0,85.3
29,NISHTHA 2.0,85.3
30,NISHTHA 2.0,0.4
1,NISHTHA 2.0,3.2
2,NISHTHA 2.0,95.2
3,NISHTHA 2.0,11.8
4,NISHTHA 2.0,9.2
5,NISHTHA 2.0,10.1
