state_id,program_name,total_certificates_issued
1,NISHTHA 1.0,'2
2,NISHTHA 1.0,'1
3,NISHTHA 1.0,'12
4,NISHTHA 1.0,'23
5,NISHTHA 1.0,'3
6,NISHTHA 1.0,'1
7,NISHTHA 1.0,'9
8,NISHTHA 1.0,'65
9,NISHTHA 1.0,'59
10,NISHTHA 1.0,'32
11,NISHTHA 1.0,'69
12,NISHTHA 1.0,'1
13,NISHTHA 1.0,'49
14,NISHTHA 1.0,'95
15,NISHTHA 1.0,'5
16,NISHTHA 1.0,'10
17,NISHTHA 1.0,'2
18,NISHTHA 1.0,'1
19,NISHTHA 1.0,'12
20,NISHTHA 1.0,'23
21,NISHTHA 1.0,'3
22,NISHTHA 1.0,'1
23,NISHTHA 1.0,'9
24,NISHTHA 1.0,'65
25,NISHTHA 2.0,'59
26,NISHTHA 2.0,'32
27,NISHTHA 2.0,'4
28,NISHTHA 2.0,'6
29,NISHTHA 2.0,'10
30,NISHTHA 2.0,'1
1,NISHTHA 2.0,'1
2,NISHTHA 2.0,'95
3,NISHTHA 2.0,'9
4,NISHTHA 2.0,'65
5,NISHTHA 2.0,'59
6,NISHTHA 2.0,'32
7,NISHTHA 2.0,'4
8,NISHTHA 2.0,'6
9,NISHTHA 2.0,'10
10,NISHTHA 2.0,'1
11,NISHTHA 2.0,'1
12,NISHTHA 2.0,'95
13,NISHTHA 2.0,'1
14,NISHTHA 2.0,'9
15,NISHTHA 2.0,'65
16,NISHTHA 2.0,'59
17,NISHTHA 2.0,'32
18,NISHTHA 2.0,'69
19,NISHTHA 3.0,'1
20,NISHTHA 3.0,'49
21,NISHTHA 3.0,'75
22,NISHTHA 3.0,'2
23,NISHTHA 3.0,'13
24,NISHTHA 3.0,'6
25,NISHTHA 3.0,'8
26,NISHTHA 3.0,'2
27,NISHTHA 3.0,'95
28,NISHTHA 3.0,'1
29,NISHTHA 3.0,'9
30,NISHTHA 3.0,'65
1,NISHTHA 3.0,'59
2,NISHTHA 3.0,'32
3,NISHTHA 3.0,'69
4,NISHTHA 3.0,'1
5,NISHTHA 3.0,'49
6,NISHTHA 3.0,'75
7,NISHTHA 2.0,'2
8,NISHTHA 2.0,'13
9,NISHTHA 2.0,'6
10,NISHTHA 2.0,'8
11,NISHTHA 2.0,'2
12,NISHTHA 2.0,'32
13,NISHTHA 2.0,'69
14,NISHTHA 2.0,'1
15,NISHTHA 2.0,'49
16,NISHTHA 2.0,'95
17,NISHTHA 2.0,'5
18,NISHTHA 2.0,'10
19,NISHTHA 2.0,'2
20,NISHTHA 2.0,'1
21,NISHTHA 2.0,'12
22,NISHTHA 2.0,'23
23,NISHTHA 2.0,'3
24,NISHTHA 2.0,'1
25,NISHTHA 2.0,'9
26,NISHTHA 2.0,'65
27,NISHTHA 2.0,'59
28,NISHTHA 2.0,'32
29,NISHTHA 2.0,'4
30,NISHTHA 2.0,'6
