state_id,program_name,total_courses
1,NISHTHA 1.0,17
2,NISHTHA 1.0,14
3,NISHTHA 1.0,23
4,NISHTHA 1.0,26
5,NISHTHA 1.0,20
6,NISHTHA 1.0,16
7,NISHTHA 1.0,32
8,NISHTHA 1.0,29
9,NISHTHA 1.0,36
10,NISHTHA 1.0,42
11,NISHTHA 1.0,15
12,NISHTHA 1.0,15
13,NISHTHA 1.0,12
14,NISHTHA 1.0,47
15,NISHTHA 1.0,53
16,NISHTHA 1.0,38
17,NISHTHA 1.0,64
18,NISHTHA 1.0,69
19,NISHTHA 1.0,37
20,NISHTHA 1.0,13
21,NISHTHA 1.0,64
22,NISHTHA 1.0,73
23,NISHTHA 1.0,74
24,NISHTHA 1.0,62
25,NISHTHA 2.0,41
26,NISHTHA 2.0,69
27,NISHTHA 2.0,72
28,NISHTHA 2.0,56
29,NISHTHA 2.0,74
30,NISHTHA 2.0,43
1,NISHTHA 2.0,79
2,NISHTHA 2.0,37
3,NISHTHA 2.0,58
4,NISHTHA 2.0,26
5,NISHTHA 2.0,45
6,NISHTHA 2.0,30
7,NISHTHA 2.0,83
8,NISHTHA 2.0,49
9,NISHTHA 2.0,43
10,NISHTHA 2.0,89
11,NISHTHA 2.0,55
12,NISHTHA 2.0,32
13,NISHTHA 2.0,18
14,NISHTHA 2.0,18
15,NISHTHA 2.0,45
16,NISHTHA 2.0,37
17,NISHTHA 2.0,12
18,NISHTHA 2.0,12
19,NISHTHA 3.0,65
20,NISHTHA 3.0,42
21,NISHTHA 3.0,95
22,NISHTHA 3.0,95
23,NISHTHA 3.0,26
24,NISHTHA 3.0,20
25,NISHTHA 3.0,16
26,NISHTHA 3.0,32
27,NISHTHA 3.0,29
28,NISHTHA 3.0,36
29,NISHTHA 3.0,42
30,NISHTHA 3.0,15
1,NISHTHA 3.0,15
2,NISHTHA 3.0,12
3,NISHTHA 3.0,47
4,NISHTHA 3.0,53
5,NISHTHA 3.0,38
6,NISHTHA 3.0,64
7,NISHTHA 2.0,69
8,NISHTHA 2.0,37
9,NISHTHA 2.0,13
10,NISHTHA 2.0,64
11,NISHTHA 2.0,73
12,NISHTHA 2.0,74
13,NISHTHA 2.0,62
14,NISHTHA 2.0,41
15,NISHTHA 2.0,69
16,NISHTHA 2.0,72
17,NISHTHA 2.0,56
18,NISHTHA 2.0,74
19,NISHTHA 2.0,43
20,NISHTHA 2.0,79
21,NISHTHA 2.0,37
22,NISHTHA 2.0,58
23,NISHTHA 2.0,26
24,NISHTHA 2.0,45
25,NISHTHA 2.0,30
