state_id,program_name,total_medium
1,NISHTHA 1.0,2
2,NISHTHA 1.0,1
3,NISHTHA 1.0,1
4,NISHTHA 1.0,2
5,NISHTHA 1.0,2
6,NISHTHA 1.0,2
7,NISHTHA 1.0,1
8,NISHTHA 1.0,3
9,NISHTHA 1.0,3
10,NISHTHA 1.0,3
11,NISHTHA 1.0,3
12,NISHTHA 1.0,3
13,NISHTHA 1.0,4
14,NISHTHA 1.0,1
15,NISHTHA 1.0,1
16,NISHTHA 1.0,1
17,NISHTHA 1.0,1
18,NISHTHA 1.0,1
19,NISHTHA 1.0,1
20,NISHTHA 1.0,4
21,NISHTHA 1.0,4
22,NISHTHA 1.0,4
23,NISHTHA 1.0,4
24,NISHTHA 1.0,4
25,NISHTHA 2.0,4
26,NISHTHA 2.0,2
27,NISHTHA 2.0,2
28,NISHTHA 2.0,2
29,NISHTHA 2.0,2
30,NISHTHA 2.0,2
1,NISHTHA 2.0,2
2,NISHTHA 2.0,5
3,NISHTHA 2.0,5
4,NISHTHA 2.0,5
5,NISHTHA 2.0,1
6,NISHTHA 2.0,1
7,NISHTHA 2.0,1
8,NISHTHA 2.0,1
9,NISHTHA 2.0,1
10,NISHTHA 2.0,1
11,NISHTHA 2.0,2
12,NISHTHA 2.0,2
13,NISHTHA 2.0,2
14,NISHTHA 2.0,1
15,NISHTHA 2.0,3
16,NISHTHA 2.0,3
17,NISHTHA 2.0,3
18,NISHTHA 2.0,3
19,NISHTHA 3.0,3
20,NISHTHA 3.0,5
21,NISHTHA 3.0,5
22,NISHTHA 3.0,5
23,NISHTHA 3.0,5
24,NISHTHA 3.0,5
25,NISHTHA 3.0,5
26,NISHTHA 3.0,5
27,NISHTHA 3.0,1
28,NISHTHA 3.0,1
29,NISHTHA 3.0,6
30,NISHTHA 3.0,6
1,NISHTHA 3.0,6
2,NISHTHA 3.0,6
3,NISHTHA 3.0,6
4,NISHTHA 3.0,6
5,NISHTHA 3.0,6
6,NISHTHA 3.0,3
7,NISHTHA 2.0,4
8,NISHTHA 2.0,1
9,NISHTHA 2.0,1
10,NISHTHA 2.0,1
11,NISHTHA 2.0,1
12,NISHTHA 2.0,1
13,NISHTHA 2.0,1
14,NISHTHA 2.0,4
15,NISHTHA 2.0,4
16,NISHTHA 2.0,4
17,NISHTHA 2.0,4
18,NISHTHA 2.0,4
19,NISHTHA 2.0,4
20,NISHTHA 2.0,2
21,NISHTHA 2.0,2
22,NISHTHA 2.0,2
23,NISHTHA 2.0,2
24,NISHTHA 3.0,1
25,NISHTHA 3.0,1
26,NISHTHA 3.0,1
27,NISHTHA 3.0,1
28,NISHTHA 3.0,6
29,NISHTHA 3.0,6
30,NISHTHA 3.0,6
1,NISHTHA 3.0,6
2,NISHTHA 3.0,2
3,NISHTHA 3.0,2
4,NISHTHA 3.0,2
5,NISHTHA 3.0,2
