block_id,block_name,district_id,district_name,latitude,longitude
block_001,block_name_001,district_001,district_name_001,1.00001,2.00001
block_002,block_name_002,district_002,district_name_002,1.00002,2.00002
block_003,block_name_003,district_003,district_name_003,1.00003,2.00003
block_004,block_name_004,district_004,district_name_004,1.00004,2.00004
block_005,block_name_005,district_005,district_name_005,1.00005,2.00005
block_006,block_name_006,district_006,district_name_006,1.00006,2.00006
block_007,block_name_007,district_007,district_name_007,1.00007,2.00007
block_008,block_name_008,district_008,district_name_008,1.00008,2.00008
block_009,block_name_009,district_009,district_name_009,1.00009,2.00009
block_010,block_name_010,district_010,district_name_010,1.0001,2.0001
block_011,block_name_011,district_011,district_name_011,1.00011,2.00011
block_012,block_name_012,district_012,district_name_012,1.00012,2.00012
block_013,block_name_013,district_013,district_name_013,1.00013,2.00013
block_014,block_name_014,district_014,district_name_014,1.00014,2.00014
block_015,block_name_015,district_015,district_name_015,1.00015,2.00015
block_016,block_name_016,district_016,district_name_016,1.00016,2.00016
block_017,block_name_017,district_017,district_name_017,1.00017,2.00017
block_018,block_name_018,district_018,district_name_018,1.00018,2.00018
block_019,block_name_019,district_019,district_name_019,1.00019,2.00019
block_020,block_name_020,district_020,district_name_020,1.0002,2.0002
block_021,block_name_021,district_021,district_name_021,1.00021,2.00021
block_022,block_name_022,district_022,district_name_022,1.00022,2.00022
block_023,block_name_023,district_023,district_name_023,1.00023,2.00023
block_024,block_name_024,district_024,district_name_024,1.00024,2.00024
block_025,block_name_025,district_025,district_name_025,1.00025,2.00025
block_026,block_name_026,district_026,district_name_026,1.00026,2.00026
block_027,block_name_027,district_027,district_name_027,1.00027,2.00027
block_028,block_name_028,district_028,district_name_028,1.00028,2.00028
block_029,block_name_029,district_029,district_name_029,1.00029,2.00029
block_030,block_name_030,district_030,district_name_030,1.0003,2.0003
block_031,block_name_031,district_031,district_name_031,1.00031,2.00031
block_032,block_name_032,district_032,district_name_032,1.00032,2.00032
block_033,block_name_033,district_033,district_name_033,1.00033,2.00033
block_034,block_name_034,district_034,district_name_034,1.00034,2.00034
block_035,block_name_035,district_035,district_name_035,1.00035,2.00035
block_036,block_name_036,district_036,district_name_036,1.00036,2.00036
block_037,block_name_037,district_037,district_name_037,1.00037,2.00037
block_038,block_name_038,district_038,district_name_038,1.00038,2.00038
block_039,block_name_039,district_039,district_name_039,1.00039,2.00039
block_040,block_name_040,district_040,district_name_040,1.0004,2.0004
block_041,block_name_041,district_041,district_name_041,1.00041,2.00041
block_042,block_name_042,district_042,district_name_042,1.00042,2.00042
block_043,block_name_043,district_043,district_name_043,1.00043,2.00043
block_044,block_name_044,district_044,district_name_044,1.00044,2.00044
block_045,block_name_045,district_045,district_name_045,1.00045,2.00045
block_046,block_name_046,district_046,district_name_046,1.00046,2.00046
block_047,block_name_047,district_047,district_name_047,1.00047,2.00047
block_048,block_name_048,district_048,district_name_048,1.00048,2.00048
block_049,block_name_049,district_049,district_name_049,1.00049,2.00049
block_050,block_name_050,district_050,district_name_050,1.0005,2.0005
block_051,block_name_051,district_051,district_name_051,1.00051,2.00051
block_052,block_name_052,district_052,district_name_052,1.00052,2.00052
