date,cluster_id,block_id,district_id,academicyear_id,meeting_conducted
02/01/23,cluster_001,block_001,district_001,2022-23,1
02/01/23,cluster_002,block_002,district_002,2022-23,0
02/01/23,cluster_003,block_003,district_003,2022-23,1
02/01/23,cluster_004,block_004,district_004,2022-23,0
02/01/23,cluster_005,block_005,district_005,2022-23,1
02/01/23,cluster_006,block_006,district_006,2022-23,0
02/01/23,cluster_007,block_007,district_007,2022-23,1
02/01/23,cluster_008,block_008,district_008,2022-23,0
02/01/23,cluster_009,block_009,district_009,2022-23,1
02/01/23,cluster_010,block_010,district_010,2022-23,0
02/01/23,cluster_011,block_011,district_011,2022-23,1
02/01/23,cluster_012,block_012,district_012,2022-23,0
02/01/23,cluster_013,block_013,district_013,2022-23,1
02/01/23,cluster_014,block_014,district_014,2022-23,0
02/01/23,cluster_015,block_015,district_015,2022-23,1
02/01/23,cluster_016,block_016,district_016,2022-23,0
02/01/23,cluster_017,block_017,district_017,2022-23,1
02/01/23,cluster_018,block_018,district_018,2022-23,0
02/01/23,cluster_019,block_019,district_019,2022-23,1
02/01/23,cluster_020,block_020,district_020,2022-23,0
02/01/23,cluster_021,block_021,district_021,2022-23,1
02/01/23,cluster_022,block_022,district_022,2022-23,0
02/01/23,cluster_023,block_023,district_023,2022-23,1
02/01/23,cluster_024,block_024,district_024,2022-23,0
02/01/23,cluster_025,block_025,district_025,2022-23,1
02/01/23,cluster_026,block_026,district_026,2022-23,0
02/01/23,cluster_027,block_027,district_027,2022-23,1
02/01/23,cluster_028,block_028,district_028,2022-23,0
02/01/23,cluster_029,block_029,district_029,2022-23,1
02/01/23,cluster_030,block_030,district_030,2022-23,0
02/01/23,cluster_031,block_031,district_031,2022-23,1
02/01/23,cluster_032,block_032,district_032,2022-23,0
02/01/23,cluster_033,block_033,district_033,2022-23,1
02/01/23,cluster_034,block_034,district_034,2022-23,1
02/01/23,cluster_035,block_035,district_035,2022-23,1
02/01/23,cluster_036,block_036,district_036,2022-23,1
02/01/23,cluster_037,block_037,district_037,2022-23,1
02/01/23,cluster_038,block_038,district_038,2022-23,1
02/01/23,cluster_039,block_039,district_039,2022-23,1
02/01/23,cluster_040,block_040,district_040,2022-23,1
02/01/23,cluster_041,block_041,district_041,2022-23,1
02/01/23,cluster_042,block_042,district_042,2022-23,1
02/01/23,cluster_043,block_043,district_043,2022-23,1
02/01/23,cluster_044,block_044,district_044,2022-23,1
02/01/23,cluster_045,block_045,district_045,2022-23,1
02/01/23,cluster_046,block_046,district_046,2022-23,1
02/01/23,cluster_047,block_047,district_047,2022-23,1
02/01/23,cluster_048,block_048,district_048,2022-23,1
02/01/23,cluster_049,block_049,district_049,2022-23,1
02/01/23,cluster_050,block_050,district_050,2022-23,1
02/01/23,cluster_051,block_051,district_051,2022-23,1
02/01/23,cluster_052,block_052,district_052,2022-23,1
02/01/23,cluster_053,block_053,district_053,2022-23,0
02/01/23,cluster_054,block_054,district_054,2022-23,0
02/01/23,cluster_055,block_055,district_055,2022-23,0
02/01/23,cluster_056,block_056,district_056,2022-23,0
02/01/23,cluster_057,block_057,district_057,2022-23,0
02/01/23,cluster_058,block_058,district_058,2022-23,0
02/01/23,cluster_059,block_059,district_059,2022-23,0
02/01/23,cluster_060,block_060,district_060,2022-23,0
02/01/23,cluster_061,block_061,district_061,2022-23,0
02/01/23,cluster_062,block_062,district_062,2022-23,0
02/01/23,cluster_063,block_063,district_063,2022-23,0
02/01/23,cluster_064,block_064,district_064,2022-23,0
02/01/23,cluster_065,block_065,district_065,2021-22,0
02/01/23,cluster_066,block_066,district_066,2021-22,0
02/01/23,cluster_067,block_067,district_067,2021-22,0
02/01/23,cluster_068,block_068,district_068,2021-22,0
02/01/23,cluster_069,block_069,district_069,2021-22,0
02/01/23,cluster_070,block_070,district_070,2021-22,0
02/01/23,cluster_071,block_071,district_071,2021-22,0
02/01/23,cluster_072,block_072,district_072,2021-22,0
02/01/23,cluster_073,block_073,district_073,2021-22,0
02/01/23,cluster_074,block_074,district_074,2021-22,0
02/01/23,cluster_075,block_075,district_075,2021-22,0
02/01/23,cluster_076,block_076,district_076,2021-22,1
02/01/23,cluster_077,block_077,district_077,2021-22,0
02/01/23,cluster_078,block_078,district_078,2021-22,1
02/01/23,cluster_079,block_079,district_079,2021-22,0
02/01/23,cluster_080,block_080,district_080,2021-22,1
02/01/23,cluster_081,block_081,district_081,2021-22,0
02/01/23,cluster_082,block_082,district_082,2021-22,1
02/01/23,cluster_083,block_083,district_083,2021-22,0
02/01/23,cluster_084,block_084,district_084,2021-22,1
02/01/23,cluster_085,block_085,district_085,2021-22,0
02/01/23,cluster_086,block_086,district_086,2021-22,1
02/01/23,cluster_087,block_087,district_087,2021-22,0
02/01/23,cluster_088,block_088,district_088,2021-22,1
02/01/23,cluster_089,block_089,district_089,2021-22,0
02/01/23,cluster_090,block_090,district_090,2021-22,1
02/01/23,cluster_091,block_091,district_091,2021-22,0
02/01/23,cluster_092,block_092,district_092,2021-22,1
02/01/23,cluster_093,block_093,district_093,2021-22,0
02/01/23,cluster_094,block_094,district_094,2021-22,1
02/01/23,cluster_095,block_095,district_095,2021-22,0
02/01/23,cluster_096,block_096,district_096,2021-22,1
02/01/23,cluster_097,block_097,district_097,2021-22,0
02/01/23,cluster_098,block_098,district_098,2021-22,1
02/01/23,cluster_099,block_099,district_099,2021-22,0
02/01/23,cluster_100,block_100,district_100,2021-22,1
