date,district_id,academicyear_id,meeting_conducted
02/01/23,district_001,2022-23,1
02/01/23,district_002,2022-23,0
02/01/23,district_003,2022-23,0
02/01/23,district_004,2022-23,1
02/01/23,district_005,2022-23,1
02/01/23,district_006,2022-23,0
02/01/23,district_007,2022-23,0
02/01/23,district_008,2022-23,1
02/01/23,district_009,2022-23,1
02/01/23,district_010,2022-23,1
02/01/23,district_011,2022-23,1
02/01/23,district_012,2022-23,1
02/01/23,district_013,2022-23,1
02/01/23,district_014,2022-23,1
02/01/23,district_015,2022-23,1
02/01/23,district_016,2022-23,1
02/01/23,district_017,2022-23,1
02/01/23,district_018,2022-23,1
02/01/23,district_019,2022-23,1
02/01/23,district_020,2022-23,1
02/01/23,district_021,2022-23,1
02/01/23,district_022,2022-23,1
02/01/23,district_023,2022-23,1
02/01/23,district_024,2022-23,0
02/01/23,district_025,2022-23,0
02/01/23,district_026,2022-23,0
02/01/23,district_027,2022-23,1
02/01/23,district_028,2022-23,1
02/01/23,district_029,2022-23,1
02/01/23,district_030,2022-23,1
02/01/23,district_031,2022-23,1
02/01/23,district_032,2022-23,1
02/01/23,district_033,2022-23,1
02/01/23,district_034,2022-23,1
02/01/23,district_035,2022-23,1
02/01/23,district_036,2022-23,1
02/01/23,district_037,2022-23,1
02/01/23,district_038,2022-23,1
02/01/23,district_039,2022-23,1
02/01/23,district_040,2022-23,1
02/01/23,district_041,2022-23,1
02/01/23,district_042,2022-23,0
02/01/23,district_043,2022-23,0
02/01/23,district_044,2022-23,0
02/01/23,district_045,2022-23,0
02/01/23,district_046,2022-23,0
02/01/23,district_047,2022-23,0
02/01/23,district_048,2022-23,0
02/01/23,district_049,2022-23,0
03/01/23,district_050,2022-23,1
03/01/23,district_051,2022-23,1
03/01/23,district_052,2022-23,1
03/01/23,district_053,2022-23,1
03/01/23,district_054,2022-23,1
03/01/23,district_055,2022-23,1
03/01/23,district_056,2022-23,1
03/01/23,district_057,2022-23,1
03/01/23,district_058,2022-23,1
03/01/23,district_059,2022-23,1
03/01/23,district_060,2022-23,1
03/01/23,district_061,2022-23,1
03/01/23,district_062,2022-23,1
03/01/23,district_063,2022-23,1
03/01/23,district_064,2022-23,1
03/01/23,district_065,2021-22,0
03/01/23,district_066,2021-22,0
03/01/23,district_067,2021-22,0
03/01/23,district_068,2021-22,1
03/01/23,district_069,2021-22,1
03/01/23,district_070,2021-22,1
03/01/23,district_071,2021-22,0
03/01/23,district_072,2021-22,0
03/01/23,district_073,2021-22,1
03/01/23,district_074,2021-22,1
03/01/23,district_075,2021-22,0
03/01/23,district_076,2021-22,0
03/01/23,district_077,2021-22,1
03/01/23,district_078,2021-22,1
03/01/23,district_079,2021-22,1
03/01/23,district_080,2021-22,1
03/01/23,district_081,2021-22,1
03/01/23,district_082,2021-22,1
03/01/23,district_083,2021-22,1
03/01/23,district_084,2021-22,1
03/01/23,district_085,2021-22,1
03/01/23,district_086,2021-22,1
03/01/23,district_087,2021-22,1
03/01/23,district_088,2021-22,1
03/01/23,district_089,2021-22,1
03/01/23,district_090,2021-22,1
03/01/23,district_091,2021-22,1
03/01/23,district_092,2021-22,1
03/01/23,district_093,2021-22,0
03/01/23,district_094,2021-22,0
03/01/23,district_095,2021-22,0
03/01/23,district_096,2021-22,1
03/01/23,district_097,2021-22,1
03/01/23,district_098,2021-22,1
03/01/23,district_099,2021-22,1
04/01/23,district_100,2021-23,1
