date,district_id,block_id,cluster_id,school_id,grade,school_category,gender,total_students
02/28/23,101,10101,101010111,1000000008,4,primary,female,43
02/28/23,101,10101,101010111,1000000006,7,upper_primary,male,42
02/28/23,101,10101,101010111,1000000005,9,secondary,female,44
02/28/23,101,10101,101010112,1000000009,9,secondary,female,40
02/28/23,101,10101,101010111,1000000005,12,senior_secondary,male,42
02/28/23,101,10101,101010111,1000000003,10,secondary,male,45
02/28/23,101,10101,101010111,1000000002,4,primary,male,45
02/28/23,101,10101,101010111,1000000006,3,primary,male,43
02/28/23,101,10101,101010111,1000000006,1,primary,female,45
02/28/23,101,10101,101010111,1000000002,12,senior_secondary,male,43
02/28/23,101,10101,101010111,1000000002,6,upper_primary,female,41
02/28/23,101,10101,101010112,1000000009,2,primary,female,42
02/28/23,101,10101,101010111,1000000001,4,primary,male,44
02/28/23,101,10101,101010111,1000000008,4,primary,male,40
02/28/23,101,10101,101010112,1000000009,11,senior_secondary,female,42
02/28/23,101,10101,101010111,1000000007,8,upper_primary,male,43
02/28/23,101,10101,101010111,1000000005,2,primary,female,41
02/28/23,101,10101,101010111,1000000008,10,secondary,male,41
02/28/23,101,10101,101010111,1000000007,5,primary,male,43
02/28/23,101,10101,101010111,1000000002,2,primary,male,41
02/28/23,101,10101,101010111,1000000005,7,upper_primary,female,43
02/28/23,101,10101,101010111,1000000003,10,secondary,female,45
02/28/23,101,10101,101010111,1000000004,3,primary,female,42
02/28/23,101,10101,101010111,1000000006,10,secondary,male,41
02/28/23,101,10101,101010111,1000000004,8,upper_primary,female,40
02/28/23,101,10101,101010111,1000000003,12,senior_secondary,male,42
02/28/23,101,10101,101010111,1000000006,4,primary,female,42
02/28/23,101,10101,101010111,1000000001,9,secondary,male,44
02/28/23,101,10101,101010112,1000000009,8,upper_primary,male,45
02/28/23,101,10101,101010112,1000000010,12,senior_secondary,female,45
02/28/23,101,10101,101010111,1000000004,12,senior_secondary,female,45
02/28/23,101,10101,101010111,1000000007,10,secondary,female,43
02/28/23,101,10101,101010111,1000000007,2,primary,female,45
