date,grade,school_id,school_category,cluster_id,block_id,district_id,student_category,gender,academicyear_id,cwsn,students_enrolled
02/01/2023,11,1000000005,senior_secondary,101010111,10101,101,obc,male,2023-24,3,36
02/01/2023,9,1000000003,secondary,101010111,10101,101,general,male,2023-24,5,23
02/01/2023,6,1000000026,upper_primary,101010115,10101,101,st,female,2023-24,4,20
02/01/2023,10,1000000022,secondary,101010114,10101,101,other,male,2023-24,5,40
02/01/2023,10,1000000022,secondary,101010114,10101,101,sc,female,2023-24,2,29
02/01/2023,2,1000000023,primary,101010114,10101,101,obc,male,2023-24,1,38
02/01/2023,8,1000000023,upper_primary,101010114,10101,101,sc,male,2023-24,2,27
02/01/2023,1,1000000003,primary,101010111,10101,101,st,male,2023-24,2,31
02/01/2023,4,1000000026,primary,101010115,10101,101,obc,female,2023-24,5,37
02/01/2023,4,1000000020,primary,101010114,10101,101,other,male,2023-24,2,25
02/01/2023,3,1000000027,primary,101010115,10101,101,obc,female,2023-24,4,34
02/01/2023,2,1000000019,primary,101010113,10101,101,obc,male,2023-24,2,35
02/01/2023,5,1000000007,primary,101010111,10101,101,sc,female,2023-24,3,26
02/01/2023,12,1000000009,senior_secondary,101010112,10101,101,other,male,2023-24,4,23
02/01/2023,8,1000000027,upper_primary,101010115,10101,101,obc,male,2023-24,2,27
02/01/2023,3,1000000008,primary,101010111,10101,101,st,male,2023-24,1,21
02/01/2023,2,1000000020,primary,101010114,10101,101,sc,female,2023-24,1,21
02/01/2023,12,1000000018,senior_secondary,101010113,10101,101,other,female,2023-24,4,23
02/01/2023,2,1000000028,primary,101010115,10101,101,sc,female,2023-24,3,20
02/01/2023,4,1000000006,primary,101010111,10101,101,sc,male,2023-24,4,26
02/01/2023,10,1000000003,secondary,101010111,10101,101,obc,female,2023-24,5,21
02/01/2023,7,1000000023,upper_primary,101010114,10101,101,general,female,2023-24,5,32
02/01/2023,11,1000000018,senior_secondary,101010113,10101,101,sc,male,2023-24,3,35
02/01/2023,1,1000000025,primary,101010114,10101,101,obc,female,2023-24,1,22
02/01/2023,8,1000000029,upper_primary,101010115,10101,101,st,male,2023-24,3,20
02/01/2023,1,1000000010,primary,101010112,10101,101,other,male,2023-24,3,35
02/01/2023,7,1000000030,upper_primary,101010115,10101,101,other,male,2023-24,3,36
02/01/2023,12,1000000028,senior_secondary,101010115,10101,101,other,male,2023-24,1,32
02/01/2023,10,1000000023,secondary,101010114,10101,101,general,male,2023-24,3,40
02/01/2023,7,1000000025,upper_primary,101010114,10101,101,st,male,2023-24,3,28
02/01/2023,3,1000000011,primary,101010112,10101,101,general,male,2023-24,5,25
02/01/2023,8,1000000004,upper_primary,101010111,10101,101,obc,male,2023-24,5,31
02/01/2023,1,1000000004,primary,101010111,10101,101,st,female,2023-24,4,40
02/01/2023,11,1000000008,senior_secondary,101010111,10101,101,sc,male,2023-24,2,28
02/01/2023,11,1000000018,senior_secondary,101010113,10101,101,st,female,2023-24,1,24
02/01/2023,12,1000000008,senior_secondary,101010111,10101,101,other,female,2023-24,1,21
02/01/2023,1,1000000007,primary,101010111,10101,101,general,male,2023-24,4,23
02/01/2023,6,1000000015,upper_primary,101010113,10101,101,obc,female,2023-24,5,27
02/01/2023,12,1000000016,senior_secondary,101010113,10101,101,sc,male,2023-24,4,21
02/01/2023,7,1000000019,upper_primary,101010113,10101,101,st,male,2023-24,3,37
02/01/2023,3,1000000021,primary,101010114,10101,101,sc,female,2023-24,3,35
